,cnt,country_name,year,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2x_api,v2x_mpi,v2x_freexp_altinf,v2x_frassoc_thick,v2x_suffr,v2xel_frefair,v2x_elecoff,v2x_liberal,v2xcl_rol,v2x_jucon,v2xlg_legcon,v2x_partip,v2x_cspart,v2xdd_dd,v2xel_locelec,v2xel_regelec,v2xdl_delib,v2xeg_eqprotec,v2xeg_eqaccess,v2xeg_eqdr,country,var,Financial services,FinSecGrowth_5Yrs
41,SGP,Singapore,2018,0.387,0.314,0.115,0.339,0.329,0.651,0.123,0.333,0.514,1.0,0.764,1.0,0.714,0.906,0.743,0.51,0.164,0.478,0.011,0.0,0.0,0.791,0.853,0.547,0.92,Singapore,VA_Q15,56460.42657077323,0.05139729923850607
42,THA,Thailand,2018,0.164,0.109,0.1,0.042,0.153,0.327,0.0,0.362,0.148,0.992,0.286,0.0,0.339,0.353,0.604,0.049,0.307,0.563,0.276,0.058,0.022,0.099,0.327,0.638,0.527,Thailand,VA_Q15,1221949.654737639,0.06532873197641646
43,TUN,Tunisia,2018,0.737,0.647,0.489,0.683,0.577,0.882,0.593,0.875,0.859,1.0,0.808,1.0,0.889,0.821,0.907,0.965,0.604,0.877,0.069,0.891,0.163,0.956,0.861,0.842,0.629,Tunisia,VA_Q15,4223.780062579516,0.06665665040328354
44,TUR,Turkey,2018,0.283,0.108,0.18,0.082,0.198,0.53,0.035,0.174,0.531,1.0,0.405,1.0,0.232,0.252,0.242,0.171,0.454,0.176,0.247,0.947,0.068,0.15,0.436,0.535,0.57,Turkey,VA_Q15,79177.87621813867,0.06266596331095813
45,TWN,Taiwan,2018,0.84,0.741,0.666,0.746,0.753,0.932,0.749,0.921,0.894,1.0,0.932,1.0,0.88,0.968,0.849,0.85,0.764,0.93,0.371,0.995,0.0,0.895,0.924,0.877,0.956,Chinese Taipei,VA_Q15,1227522.787788557,0.046913328764110626
46,TZA,Tanzania,2018,0.416,0.334,0.264,0.335,0.323,0.672,0.161,0.619,0.677,1.0,0.48,0.838,0.724,0.683,0.667,0.839,0.539,0.783,0.015,0.846,0.112,0.721,0.687,0.802,0.641,Tanzania,VA_Q15,4126304.534,0.038575409465750624
47,UGA,Uganda,2018,0.307,0.232,0.228,0.25,0.178,0.572,0.043,0.646,0.524,1.0,0.146,0.959,0.589,0.511,0.586,0.692,0.584,0.799,0.142,0.818,0.0,0.649,0.405,0.563,0.282,Uganda,VA_Q15,2975301.998305287,0.11268244414272824
48,VNM,Vietnam,2018,0.217,0.146,0.191,0.191,0.222,0.431,0.003,0.178,0.041,1.0,0.495,1.0,0.423,0.567,0.182,0.502,0.572,0.744,0.02,0.931,0.92,0.576,0.659,0.65,0.762,Viet Nam,VA_Q15,290296036.4940123,0.07469638047675553
49,ZAF,South Africa,2018,0.738,0.628,0.484,0.638,0.488,0.883,0.594,0.859,0.892,1.0,0.795,1.0,0.85,0.845,0.872,0.867,0.592,0.84,0.02,0.926,0.883,0.872,0.759,0.751,0.32,South Africa,VA_Q15,357708.6422297822,0.02352563125382945
50,ZMB,Zambia,2018,0.35,0.259,0.245,0.305,0.244,0.62,0.08,0.622,0.661,1.0,0.216,0.97,0.609,0.658,0.633,0.542,0.573,0.759,0.121,0.845,0.454,0.744,0.731,0.683,0.303,Zambia,VA_Q15,4692.627129,-0.019759087687994926
